model,origin,forecast,actual_y60,label_exit_date,training_months,training_mean_y60,trend_above_120_day_mean,calendar_target_roll_month,label_overlap_warning,forecast_error,squared_error,training_mean_squared_error,direction_correct
E3_FORWARD_EPS,2024-11-29,0.07039608549558711,-0.004253189892419296,2025-03-05,26,-0.008148061643741279,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.0746492753880064,0.005572514315954419,1.5170025959245972e-05,False
E1_PRICE_FORWARD_EPS,2024-12-31,0.021806573996948464,-0.05472636815920395,2025-04-07,28,-0.005075087986807927,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07653294215615242,0.0058572912350769715,0.002465249622757767,False
E2_MATCHED_PRICE,2024-12-31,-0.0214244214923067,-0.05472636815920395,2025-04-07,28,-0.005075087986807927,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.03330194666689725,0.001109019651804869,0.002465249622757767,True
E3_FORWARD_EPS,2024-12-31,0.03959175484337478,-0.05472636815920395,2025-04-07,28,-0.005075087986807927,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.09431812300257873,0.008895908326729571,0.002465249622757767,False
E1_PRICE_FORWARD_EPS,2025-01-27,0.04946769296510304,-0.01119592875318065,2025-05-06,29,-0.005143656406205724,True,True,月度预测的60交易日标签存在重叠，不按独立样本解释,0.06066362171828369,0.003680074999979021,3.663000056195738e-05,False
E2_MATCHED_PRICE,2025-01-27,-0.008840283775797752,-0.01119592875318065,2025-05-06,29,-0.005143656406205724,True,True,月度预测的60交易日标签存在重叠，不按独立样本解释,0.002355644977382899,5.549063259469279e-06,3.663000056195738e-05,True
E3_FORWARD_EPS,2025-01-27,0.021109516027974548,-0.01119592875318065,2025-05-06,29,-0.005143656406205724,True,True,月度预测的60交易日标签存在重叠，不按独立样本解释,0.0323054447811552,0.0010436417625082676,3.663000056195738e-05,False
E1_PRICE_FORWARD_EPS,2025-02-28,0.0495733959149114,-0.009011264080100112,2025-05-30,29,-0.005143656406205724,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.058584659995011515,0.0034321623867311028,1.4958389119166757e-05,False
E2_MATCHED_PRICE,2025-02-28,-0.017259103511367994,-0.009011264080100112,2025-05-30,29,-0.005143656406205724,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.008247839431267882,6.802685528397731e-05,1.4958389119166757e-05,True
E3_FORWARD_EPS,2025-02-28,0.03010094141673647,-0.009011264080100112,2025-05-30,29,-0.005143656406205724,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.03911220549683658,0.0015297646188267738,1.4958389119166757e-05,False
E1_PRICE_FORWARD_EPS,2025-03-31,0.0959677183494382,0.020060180541624728,2025-07-01,30,-0.00511397418907951,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.07590753780781347,0.005761954296044631,0.0006337380664054386,True
E2_MATCHED_PRICE,2025-03-31,0.00035340413787797887,0.020060180541624728,2025-07-01,30,-0.00511397418907951,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.01970677640374675,0.0003883570362272697,0.0006337380664054386,True
E3_FORWARD_EPS,2025-03-31,0.041781500203825116,0.020060180541624728,2025-07-01,30,-0.00511397418907951,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.021721319662200388,0.00047181572786749316,0.0006337380664054386,True
