cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
STRESS,V1_CLIMAX_RECOVERY_D50_L3,PENETRATION,LIMIT_POLICY,0.07651120019999993,0.011185257605557691,0.011406834560767133,0.023905305329145088,0.4771674908021378,-0.05488452320881246,1604,0.016760153558577205,8,648.6599600000001,1703.0000000000405,False,3.225864020350855e-11,-0.024899686908184955,False
STRESS,V1_CLIMAX_RECOVERY_D100_L1,PENETRATION,LIMIT_POLICY,0.06964583300000031,0.01020967084863885,0.01021883547107732,0.011081127630332224,0.9221837173958215,-0.00300439454869106,1604,0.008711438168232652,4,327.3334,848.9999999999917,False,2.0946799850207753e-11,-0.025875273665103796,False
STRESS,V1_CLIMAX_RECOVERY_D100_L3,PENETRATION,LIMIT_POLICY,0.06964583300000031,0.01020967084863885,0.01021883547107732,0.011081127630332224,0.9221837173958215,-0.00300439454869106,1604,0.008711438168232652,4,327.3334,848.9999999999917,False,2.0946799850207753e-11,-0.025875273665103796,False
BASE,S1_TREND_REBOUND,LEGACY_OPEN,REUSED_CONTROL,0.3582429613000024,0.047279697919939204,0.05203133868232328,0.10825268371873686,0.48064710171538644,-0.17429679488992103,1604,0.23671361548244163,106,5250.707740000001,16296.500000000065,False,5.2523319027386606e-11,0.011022226274322228,False
BASE,R2_Z_CONFIRM,LEGACY_OPEN,REUSED_CONTROL,0.16770488200000178,0.023667072559537716,0.025817734284865886,0.06970302346044423,0.37039618947831143,-0.15391242204842237,1604,0.1340446327381231,50,2260.0236000000004,6703.400000000063,False,3.282707439211663e-11,-0.01259039908607926,False
BASE,V1_CLIMAX_RECOVERY,LEGACY_OPEN,REUSED_CONTROL,0.14867061029999995,0.02113195275992772,0.021518211595925554,0.03493524098819811,0.6159457037435315,-0.05456126769634767,1604,0.03469973180763765,14,592.97794,1701.200000000031,False,3.808509063674137e-11,-0.015125518885689256,False
BASE,BUY_HOLD,LEGACY_OPEN,REUSED_CONTROL,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,S1_TREND_REBOUND,LEGACY_OPEN,REUSED_CONTROL,0.26155696080000185,0.03567645456455206,0.04088555401048567,0.10822206191252165,0.3777931531514747,-0.1972793291889378,1604,0.23666456310844947,106,10110.40784,28249.50000000005,False,4.058620106661692e-11,-0.00040848994919058523,False
STRESS,R2_Z_CONFIRM,LEGACY_OPEN,REUSED_CONTROL,0.1276542904000001,0.018291073337305782,0.020548926908292454,0.06965614253699935,0.2950052380143998,-0.1693117977204964,1604,0.13399032179493472,50,4440.04192,12120.90000000008,False,3.041122909053229e-11,-0.017793871176436864,False
STRESS,V1_CLIMAX_RECOVERY,LEGACY_OPEN,REUSED_CONTROL,0.13760496500000008,0.01964170895477743,0.02005352493906825,0.03481558924374155,0.5759926910521289,-0.054599108306859837,1604,0.03469965822000256,14,1180.307,3162.500000000001,False,2.475530891388189e-11,-0.016443235558965215,False
