date,variance_status,variance_fit_index,next_variance_percent_squared,forecast_annual_volatility,realized_annual_volatility20
2013-06-13,NO_VIEW_NO_VARIANCE_MODEL,,,,0.20241749152837424
2013-06-14,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19945362875421754
2013-06-17,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19896280392304727
2013-06-18,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18483013653101343
2013-06-19,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1705975513362043
2013-06-20,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19249279094940655
2013-06-21,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1915239527314809
2013-06-24,NO_VIEW_NO_VARIANCE_MODEL,,,,0.27042392491121275
2013-06-25,NO_VIEW_NO_VARIANCE_MODEL,,,,0.272150608780473
2013-06-26,NO_VIEW_NO_VARIANCE_MODEL,,,,0.26856661144084537
2013-06-27,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2695513484157181
2013-06-28,NO_VIEW_NO_VARIANCE_MODEL,,,,0.26620921595936864
2013-07-01,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2692676164736575
2013-07-02,NO_VIEW_NO_VARIANCE_MODEL,,,,0.27150921580294857
2013-07-03,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2718590481333683
2013-07-04,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2747320829829213
2013-07-05,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2757148401622602
2013-07-08,NO_VIEW_NO_VARIANCE_MODEL,,,,0.28453712644645696
2013-07-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2849525023011482
2013-07-10,NO_VIEW_NO_VARIANCE_MODEL,,,,0.30619279809814626
2013-07-11,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3452163548321566
2013-07-12,NO_VIEW_NO_VARIANCE_MODEL,,,,0.35382693726583064
2013-07-15,NO_VIEW_NO_VARIANCE_MODEL,,,,0.35811512689047004
2013-07-16,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3579408161036469
2013-07-17,NO_VIEW_NO_VARIANCE_MODEL,,,,0.36075446486376234
2013-07-18,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3481528588569772
2013-07-19,NO_VIEW_NO_VARIANCE_MODEL,,,,0.36010914838841634
2013-07-22,NO_VIEW_NO_VARIANCE_MODEL,,,,0.28832917451532686
2013-07-23,NO_VIEW_NO_VARIANCE_MODEL,,,,0.30659123045954473
2013-07-24,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3081664680414785
2013-07-25,NO_VIEW_NO_VARIANCE_MODEL,,,,0.30861551830160494
2013-07-26,NO_VIEW_NO_VARIANCE_MODEL,,,,0.30536108855822347
2013-07-29,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3132000715617451
2013-07-30,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3137082573692494
2013-07-31,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3136946916195316
