ts_code,trade_time,receipt_path,vol_unchanged_from_raw,amount_unchanged_from_raw,low_unchanged_from_raw,high_unchanged_from_raw
510300.SH,2017-12-07 10:21:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201712/retrieved_at=20260904T222717822706+0800-cbcff7d4d368/receipt.json,True,True,True,True
510300.SH,2017-12-08 13:13:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201712/retrieved_at=20260904T222717822706+0800-cbcff7d4d368/receipt.json,True,True,True,True
510300.SH,2017-12-18 09:52:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201712/retrieved_at=20260904T222717822706+0800-cbcff7d4d368/receipt.json,True,True,True,True
510300.SH,2018-01-12 14:06:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201801/retrieved_at=20260904T222718416165+0800-15d1e3db1871/receipt.json,True,True,True,True
510300.SH,2018-01-22 13:12:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201801/retrieved_at=20260904T222718416165+0800-15d1e3db1871/receipt.json,True,True,True,True
510300.SH,2018-01-23 14:00:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201801/retrieved_at=20260904T222718416165+0800-15d1e3db1871/receipt.json,True,True,True,True
510300.SH,2018-01-26 10:09:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201801/retrieved_at=20260904T222718416165+0800-15d1e3db1871/receipt.json,True,True,True,True
510300.SH,2018-02-02 11:23:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201802/retrieved_at=20260904T222719023396+0800-4a9652e6bd5d/receipt.json,True,True,True,True
510300.SH,2018-02-06 14:50:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201802/retrieved_at=20260904T222719023396+0800-4a9652e6bd5d/receipt.json,True,True,True,True
510300.SH,2018-02-13 10:19:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201802/retrieved_at=20260904T222719023396+0800-4a9652e6bd5d/receipt.json,True,True,True,True
510300.SH,2018-02-22 10:32:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201802/retrieved_at=20260904T222719023396+0800-4a9652e6bd5d/receipt.json,True,True,True,True
510300.SH,2018-02-26 10:26:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201802/retrieved_at=20260904T222719023396+0800-4a9652e6bd5d/receipt.json,True,True,True,True
510300.SH,2018-02-26 14:24:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201802/retrieved_at=20260904T222719023396+0800-4a9652e6bd5d/receipt.json,True,True,True,True
510300.SH,2018-03-02 13:23:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201803/retrieved_at=20260904T222719699197+0800-bc382bba113f/receipt.json,True,True,True,True
510300.SH,2018-03-05 14:22:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201803/retrieved_at=20260904T222719699197+0800-bc382bba113f/receipt.json,True,True,True,True
510300.SH,2018-03-08 10:40:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201803/retrieved_at=20260904T222719699197+0800-bc382bba113f/receipt.json,True,True,True,True
510300.SH,2018-03-22 13:11:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201803/retrieved_at=20260904T222719699197+0800-bc382bba113f/receipt.json,True,True,True,True
510300.SH,2018-03-27 13:04:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201803/retrieved_at=20260904T222719699197+0800-bc382bba113f/receipt.json,True,True,True,True
510300.SH,2018-03-29 10:35:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201803/retrieved_at=20260904T222719699197+0800-bc382bba113f/receipt.json,True,True,True,True
510300.SH,2018-04-23 13:09:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201804/retrieved_at=20260904T222720352982+0800-72415451dc9d/receipt.json,True,True,True,True
510300.SH,2018-04-25 13:57:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201804/retrieved_at=20260904T222720352982+0800-72415451dc9d/receipt.json,True,True,True,True
510300.SH,2018-04-27 10:57:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201804/retrieved_at=20260904T222720352982+0800-72415451dc9d/receipt.json,True,True,True,True
510300.SH,2018-04-27 13:41:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201804/retrieved_at=20260904T222720352982+0800-72415451dc9d/receipt.json,True,True,True,True
510300.SH,2018-05-16 14:12:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201805/retrieved_at=20260904T222721006332+0800-41052a8c2d74/receipt.json,True,True,True,True
510300.SH,2018-05-29 13:32:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201805/retrieved_at=20260904T222721006332+0800-41052a8c2d74/receipt.json,True,True,True,True
510300.SH,2018-06-04 14:27:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-06-06 14:01:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-06-08 13:13:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-06-13 11:19:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-06-19 09:38:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-06-20 13:01:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-06-21 10:58:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201806/retrieved_at=20260904T222721637781+0800-76741c42ca69/receipt.json,True,True,True,True
510300.SH,2018-07-04 10:35:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201807/retrieved_at=20260904T222722299965+0800-96274fb345e4/receipt.json,True,True,True,True
510300.SH,2018-07-05 13:23:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201807/retrieved_at=20260904T222722299965+0800-96274fb345e4/receipt.json,True,True,True,True
