拟合收盘,因子,训练均值,训练标准差,固定不同周期邻居数
2021-09-01,不含已付买入费用的市场涨跌,0.0446019204158918,0.07263793816729174,5
2021-09-01,不含已付买入费用的市场回撤,-0.018811352502632828,0.019389040318481814,5
2021-09-01,入场模式,1.0,1.0,5
2021-09-01,五日涨跌,-0.001050358885600466,0.03998802025947155,5
2021-09-01,二十日涨跌,0.0195381764626577,0.06059510793416421,5
2021-09-01,一百二十日均线偏离,0.06647481288280367,0.11509822631013239,5
2021-09-01,二十日波动,0.22415058588884512,0.11134447067538365,5
2021-10-08,持仓时间对数,2.7278140971741247,1.0049202834684487,5
2021-10-08,不含已付买入费用的市场涨跌,0.0446019204158918,0.07263793816729174,5
2021-10-08,不含已付买入费用的市场回撤,-0.018811352502632828,0.019389040318481814,5
2021-10-08,入场模式,1.0,1.0,5
2021-10-08,五日涨跌,-0.001050358885600466,0.03998802025947155,5
2021-10-08,二十日涨跌,0.0195381764626577,0.06059510793416421,5
2021-10-08,一百二十日均线偏离,0.06647481288280367,0.11509822631013239,5
2021-10-08,二十日波动,0.22415058588884512,0.11134447067538365,5
2021-11-01,持仓时间对数,2.7278140971741247,1.0049202834684487,5
2021-11-01,不含已付买入费用的市场涨跌,0.0446019204158918,0.07263793816729174,5
2021-11-01,不含已付买入费用的市场回撤,-0.018811352502632828,0.019389040318481814,5
2021-11-01,入场模式,1.0,1.0,5
2021-11-01,五日涨跌,-0.001050358885600466,0.03998802025947155,5
2021-11-01,二十日涨跌,0.0195381764626577,0.06059510793416421,5
2021-11-01,一百二十日均线偏离,0.06647481288280367,0.11509822631013239,5
2021-11-01,二十日波动,0.22415058588884512,0.11134447067538365,5
2021-12-01,持仓时间对数,2.7278140971741247,1.0049202834684487,5
2021-12-01,不含已付买入费用的市场涨跌,0.0446019204158918,0.07263793816729174,5
2021-12-01,不含已付买入费用的市场回撤,-0.018811352502632828,0.019389040318481814,5
2021-12-01,入场模式,1.0,1.0,5
2021-12-01,五日涨跌,-0.001050358885600466,0.03998802025947155,5
2021-12-01,二十日涨跌,0.0195381764626577,0.06059510793416421,5
2021-12-01,一百二十日均线偏离,0.06647481288280367,0.11509822631013239,5
2021-12-01,二十日波动,0.22415058588884512,0.11134447067538365,5
2022-01-04,持仓时间对数,2.7278140971741247,1.0049202834684487,5
2022-01-04,不含已付买入费用的市场涨跌,0.0446019204158918,0.07263793816729174,5
2022-01-04,不含已付买入费用的市场回撤,-0.018811352502632828,0.019389040318481814,5
2022-01-04,入场模式,1.0,1.0,5
2022-01-04,五日涨跌,-0.001050358885600466,0.03998802025947155,5
2022-01-04,二十日涨跌,0.0195381764626577,0.06059510793416421,5
2022-01-04,一百二十日均线偏离,0.06647481288280367,0.11509822631013239,5
2022-01-04,二十日波动,0.22415058588884512,0.11134447067538365,5
2022-02-07,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-02-07,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-02-07,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-02-07,入场模式,1.0,1.0,5
2022-02-07,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-02-07,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-02-07,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-02-07,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-03-01,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-03-01,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-03-01,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-03-01,入场模式,1.0,1.0,5
2022-03-01,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-03-01,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-03-01,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-03-01,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-04-01,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-04-01,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-04-01,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-04-01,入场模式,1.0,1.0,5
2022-04-01,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-04-01,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-04-01,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-04-01,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-05-05,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-05-05,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-05-05,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-05-05,入场模式,1.0,1.0,5
2022-05-05,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-05-05,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-05-05,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-05-05,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-06-01,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-06-01,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-06-01,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-06-01,入场模式,1.0,1.0,5
2022-06-01,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-06-01,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-06-01,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-06-01,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-07-01,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-07-01,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-07-01,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-07-01,入场模式,1.0,1.0,5
