拟合收盘,成熟参考周期,状态行数,周期目标平均值,周期截距,新周期使用的平均截距
2021-02-01,2,52,0.09501125267143296,0.24393557463017365,0.0040229914100464925
2021-02-01,3,6,-0.03344760127158214,-0.0556035599870999,0.0040229914100464925
2021-02-01,4,59,0.17983739018447756,0.31229918681911906,0.0040229914100464925
2021-02-01,5,25,-0.08038605495456558,-0.030238286308981406,0.0040229914100464925
2021-02-01,6,59,0.024250487101779742,0.06922479493734203,0.0040229914100464925
2021-02-01,8,1,-0.025405979073243636,-0.12090708893829613,0.0040229914100464925
2021-02-01,9,59,0.027753862878604908,-0.02138648744650224,0.0040229914100464925
2021-02-01,10,59,0.008058596622428638,-0.00771035778332221,0.0040229914100464925
2021-02-01,11,59,-0.009137820667817292,-0.04967629601464324,0.0040229914100464925
2021-02-01,12,59,-0.035002789938302165,-0.07519115769511883,0.0040229914100464925
2021-02-01,13,59,0.01734099869304303,0.02603874165884545,0.0040229914100464925
2021-02-01,14,59,0.04432397497238787,0.0417408203567992,0.0040229914100464925
2021-02-01,15,56,-0.054517590356695164,-0.09628001800802019,0.0040229914100464925
2021-02-01,16,7,-0.04122629696962168,-0.13897287179540102,0.0040229914100464925
2021-02-01,17,43,-0.04746811142656885,-0.025740847266386063,0.0040229914100464925
2021-02-01,18,38,0.051028270268516716,0.019426311584126096,0.0040229914100464925
2021-02-01,19,28,-0.061151317876876415,-0.06759954352210286,0.0040229914100464925
2021-02-01,20,42,0.008247154753474551,-0.012528450083038463,0.0040229914100464925
2021-02-01,21,59,-0.008577415872151887,0.060661466260752375,0.0040229914100464925
2021-03-01,2,52,0.09501125267143296,0.243116409770083,0.001689536665258726
2021-03-01,3,6,-0.03344760127158214,-0.056326053971222305,0.001689536665258726
2021-03-01,4,59,0.17983739018447756,0.3114330318192666,0.001689536665258726
2021-03-01,5,25,-0.08038605495456558,-0.03109720612973868,0.001689536665258726
2021-03-01,6,59,0.024250487101779742,0.06851350197455643,0.001689536665258726
2021-03-01,8,1,-0.025405979073243636,-0.12179045378675349,0.001689536665258726
2021-03-01,9,59,0.027753862878604908,-0.0223767014076027,0.001689536665258726
2021-03-01,10,59,0.008058596622428638,-0.008707533085756756,0.001689536665258726
2021-03-01,11,59,-0.009137820667817292,-0.0506951410165843,0.001689536665258726
2021-03-01,12,59,-0.035002789938302165,-0.07624935772622085,0.001689536665258726
2021-03-01,13,59,0.01734099869304303,0.025044047030512676,0.001689536665258726
2021-03-01,14,59,0.04432397497238787,0.04070156260876444,0.001689536665258726
2021-03-01,15,56,-0.054517590356695164,-0.09732240833419806,0.001689536665258726
2021-03-01,16,7,-0.04122629696962168,-0.13985007622853898,0.001689536665258726
2021-03-01,17,43,-0.04746811142656885,-0.02671669933307208,0.001689536665258726
2021-03-01,18,38,0.051028270268516716,0.01858488238205353,0.001689536665258726
2021-03-01,19,28,-0.061151317876876415,-0.06832813937863469,0.001689536665258726
2021-03-01,20,42,0.008247154753474551,-0.01335434790126326,0.001689536665258726
2021-03-01,21,59,-0.008577415872151887,0.05978184515979204,0.001689536665258726
2021-03-01,22,33,-0.02574027643354664,-0.020570429140268055,0.001689536665258726
2021-04-01,2,52,0.09501125267143296,0.243116409770083,0.001689536665258726
2021-04-01,3,6,-0.03344760127158214,-0.056326053971222305,0.001689536665258726
2021-04-01,4,59,0.17983739018447756,0.3114330318192666,0.001689536665258726
2021-04-01,5,25,-0.08038605495456558,-0.03109720612973868,0.001689536665258726
2021-04-01,6,59,0.024250487101779742,0.06851350197455643,0.001689536665258726
2021-04-01,8,1,-0.025405979073243636,-0.12179045378675349,0.001689536665258726
2021-04-01,9,59,0.027753862878604908,-0.0223767014076027,0.001689536665258726
2021-04-01,10,59,0.008058596622428638,-0.008707533085756756,0.001689536665258726
2021-04-01,11,59,-0.009137820667817292,-0.0506951410165843,0.001689536665258726
2021-04-01,12,59,-0.035002789938302165,-0.07624935772622085,0.001689536665258726
2021-04-01,13,59,0.01734099869304303,0.025044047030512676,0.001689536665258726
2021-04-01,14,59,0.04432397497238787,0.04070156260876444,0.001689536665258726
2021-04-01,15,56,-0.054517590356695164,-0.09732240833419806,0.001689536665258726
2021-04-01,16,7,-0.04122629696962168,-0.13985007622853898,0.001689536665258726
2021-04-01,17,43,-0.04746811142656885,-0.02671669933307208,0.001689536665258726
2021-04-01,18,38,0.051028270268516716,0.01858488238205353,0.001689536665258726
2021-04-01,19,28,-0.061151317876876415,-0.06832813937863469,0.001689536665258726
2021-04-01,20,42,0.008247154753474551,-0.01335434790126326,0.001689536665258726
2021-04-01,21,59,-0.008577415872151887,0.05978184515979204,0.001689536665258726
2021-04-01,22,33,-0.02574027643354664,-0.020570429140268055,0.001689536665258726
2021-05-06,2,52,0.09501125267143296,0.243116409770083,0.001689536665258726
2021-05-06,3,6,-0.03344760127158214,-0.056326053971222305,0.001689536665258726
2021-05-06,4,59,0.17983739018447756,0.3114330318192666,0.001689536665258726
2021-05-06,5,25,-0.08038605495456558,-0.03109720612973868,0.001689536665258726
2021-05-06,6,59,0.024250487101779742,0.06851350197455643,0.001689536665258726
2021-05-06,8,1,-0.025405979073243636,-0.12179045378675349,0.001689536665258726
2021-05-06,9,59,0.027753862878604908,-0.0223767014076027,0.001689536665258726
2021-05-06,10,59,0.008058596622428638,-0.008707533085756756,0.001689536665258726
2021-05-06,11,59,-0.009137820667817292,-0.0506951410165843,0.001689536665258726
2021-05-06,12,59,-0.035002789938302165,-0.07624935772622085,0.001689536665258726
2021-05-06,13,59,0.01734099869304303,0.025044047030512676,0.001689536665258726
2021-05-06,14,59,0.04432397497238787,0.04070156260876444,0.001689536665258726
2021-05-06,15,56,-0.054517590356695164,-0.09732240833419806,0.001689536665258726
2021-05-06,16,7,-0.04122629696962168,-0.13985007622853898,0.001689536665258726
2021-05-06,17,43,-0.04746811142656885,-0.02671669933307208,0.001689536665258726
2021-05-06,18,38,0.051028270268516716,0.01858488238205353,0.001689536665258726
2021-05-06,19,28,-0.061151317876876415,-0.06832813937863469,0.001689536665258726
2021-05-06,20,42,0.008247154753474551,-0.01335434790126326,0.001689536665258726
2021-05-06,21,59,-0.008577415872151887,0.05978184515979204,0.001689536665258726
2021-05-06,22,33,-0.02574027643354664,-0.020570429140268055,0.001689536665258726
2021-06-01,2,52,0.09501125267143296,0.243116409770083,0.001689536665258726
