report_month,category,same_scope,previous_month_shares_difference_100m,previous_month_nav_difference_100m,source_url,previous_source_url
2025-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202506/P020250626622640443161.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202505/P020250527617658347356.pdf
2025-06,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202507/P020250724603501155479.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202506/P020250626622640443161.pdf
2025-07,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202508/P020250826607095443025.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202507/P020250724603501155479.pdf
2025-08,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202509/P020250925618050813084.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202508/P020250826607095443025.pdf
2025-09,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202510/P020251029604965668911.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202509/P020250925618050813084.pdf
2025-10,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202511/P020251128620586063951.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202510/P020251029604965668911.pdf
2025-11,混合基金,False,-3083.970000000001,-5863.209999999999,https://www.amac.org.cn/sjtj/tjbg/gmjj/202512/P020251231664117376494.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202511/P020251128620586063951.pdf
2025-12,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202601/P020260130653247595798.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202512/P020251231664117376494.pdf
2026-01,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202602/P020260326626510228095.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202601/P020260130653247595798.pdf
2026-02,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202603/P020260326626512708384.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202602/P020260326626510228095.pdf
2026-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202604/P020260422599009744026.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202603/P020260326626512708384.pdf
2026-04,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202605/P020260527642499680112.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202604/P020260422599009744026.pdf
2026-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202606/P020260617606470583907.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202605/P020260527642499680112.pdf
2026-06,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202607/P020260723642575271747.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202606/P020260617606470583907.pdf
2020-03,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430366469115.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430364952995.pdf
2020-04,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430368020022.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430366469115.pdf
2020-05,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430369656072.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430368020022.pdf
2020-06,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430371432501.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430369656072.pdf
2020-07,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430373149066.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430371432501.pdf
2020-08,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430375010941.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430373149066.pdf
