period,cost,model,state,days,mean_daily_return,annualized_arithmetic_return,annualized_volatility,conditional_sharpe,net_pnl,trade_days,mean_exposure
较早历史,STRESS,RETURN_RUNS_STATE,非上升,78,-0.0002361089816892027,-0.05713837356878705,0.04358297701428902,-1.311025025896092,-4203.567119999992,2,0.03125430695179593
较早历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,上升高波动,138,0.0006070029016506734,0.14689470219946296,0.13948627334893898,1.0531122430376432,19007.746799999964,14,0.33806672785741
较早历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,压力回撤,543,0.00048745426610388357,0.11796393239713983,0.053895362909345476,2.188758476226622,63490.937200000015,15,0.10890739018243645
较早历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,上升稳定,460,0.0002611592441630851,0.06320053708746659,0.06656511250682542,0.9494543719277296,29007.101120000123,28,0.3126923899906459
较早历史,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,非上升,78,-0.0010348489673030652,-0.2504334500873418,0.08347055641334367,-3.000260940483048,-20914.511239999876,7,0.25824999887900585
较早历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,上升高波动,138,0.000607077922403936,0.1469128572217525,0.13948746358094108,1.053233412166124,19110.953839999973,14,0.3380753384155222
较早历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,压力回撤,543,0.0004857225979473617,0.11754486870326153,0.0539099213789503,2.18039399235997,63402.25728000011,14,0.10822498941481211
较早历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,上升稳定,460,0.000261088792228105,0.0631834877192014,0.06657442942732063,0.9490654033795195,29061.18088,28,0.3127500144132664
较早历史,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,非上升,78,-0.0007775925517897542,-0.18817739753312052,0.071912073628736,-2.616770564907267,-15287.741359999956,6,0.2390077620163505
较早历史,STRESS,BUY_HOLD,上升高波动,138,1.943346225165348e-05,0.004702897864900142,0.2992593005640157,0.015715126834944023,-1132.5532799999346,1,0.9761422476708838
较早历史,STRESS,BUY_HOLD,压力回撤,543,0.00019467407664753339,0.04711112654870308,0.31649402605141835,0.14885313045703202,-6758.800000000047,0,0.9634224031321242
较早历史,STRESS,BUY_HOLD,上升稳定,460,0.0009247609980799127,0.22379216153533887,0.12896284359628307,1.735322789841065,85779.94175999999,1,0.958427419640282
较早历史,STRESS,BUY_HOLD,非上升,78,-0.002329811020086907,-0.5638142668610315,0.18980033247891465,-2.9705652223958405,-35733.0,0,0.965586732858346
