date,history_available,reference_year_net_return,positive_history
2015-08-11,True,0.6363212908697671,True
2015-08-12,True,0.615999771751371,True
2015-08-13,True,0.6106656647667938,True
2015-08-14,True,0.6093376356307716,True
2015-08-17,True,0.6153310770488505,True
2015-08-18,True,0.621369326487766,True
2015-08-19,True,0.6133283092650477,True
2015-08-20,True,0.6274528883218671,True
2015-08-21,True,0.637694246300333,True
2015-08-24,True,0.6383815883619535,True
2015-08-25,True,0.6459806067796336,True
2015-08-26,True,0.6301713719254827,True
2015-08-27,True,0.6227172953258904,True
2015-08-28,True,0.598791725130045,True
2015-08-31,True,0.5838718629744937,True
2015-09-01,True,0.5692278893835341,True
2015-09-02,True,0.5542331655675907,True
2015-09-07,True,0.557954916859108,True
2015-09-08,True,0.5679672872130093,True
2015-09-09,True,0.5768342752801783,True
2015-09-10,True,0.5641976035853804,True
2015-09-11,True,0.568597335027796,True
2015-09-14,True,0.5961768080690524,True
2015-09-15,True,0.5909725513759858,True
2015-09-16,True,0.5845147599341456,True
2015-09-17,True,0.5717551844530337,True
2015-09-18,True,0.6053666556700683,True
2015-09-21,True,0.5890296936729011,True
2015-09-22,True,0.5591994647064675,True
2015-09-23,True,0.567337745329044,True
2015-09-24,True,0.5667087087667473,True
2015-09-25,True,0.5598224845687321,True
2015-09-28,True,0.5598224845687321,True
2015-09-29,True,0.5301142473193405,True
2015-09-30,True,0.539898308842585,True
2015-10-08,True,0.6022728304550748,True
2015-10-09,True,0.6312677498561863,True
2015-10-12,True,0.7046664190023781,True
2015-10-13,True,0.6819125102456298,True
2015-10-14,True,0.6698161178200985,True
2015-10-15,True,0.7198727478954403,True
2015-10-16,True,0.7357106482952112,True
2015-10-19,True,0.7439954292547382,True
2015-10-20,True,0.7765844644491104,True
2015-10-21,True,0.7422254356595819,True
2015-10-22,True,0.7656479146578392,True
2015-10-23,True,0.8135059322401967,True
2015-10-26,True,0.7811619519025872,True
2015-10-27,True,0.7600370247477213,True
2015-10-28,True,0.731181734116082,True
2015-10-29,True,0.7335735152701737,True
2015-10-30,True,0.734051871500992,True
2015-11-02,True,0.7053504976518918,True
2015-11-03,True,0.692434879419797,True
2015-11-04,True,0.7928896878916469,True
2015-11-05,True,0.8211127055099285,True
2015-11-06,True,0.8641647662835785,True
2015-11-09,True,0.90036363253991,True
2015-11-10,True,0.8677157329979284,True
2015-11-11,True,0.8760201429010566,True
2015-11-12,True,0.8547575787255846,True
2015-11-13,True,0.8448142906483473,True
2015-11-16,True,0.8754840751057484,True
2015-11-17,True,0.8744977988503095,True
2015-11-18,True,0.8555568119142931,True
2015-11-19,True,0.8481390802925053,True
2015-11-20,True,0.7917614970752402,True
2015-11-23,True,0.7646741254738478,True
2015-11-24,True,0.7468621222728504,True
2015-11-25,True,0.7415321583879768,True
2015-11-26,True,0.6933231804722444,True
2015-11-27,True,0.6011297941637539,True
2015-11-30,True,0.5405947584864668,True
2015-12-01,True,0.5358576795371555,True
2015-12-02,True,0.5094475758874479,True
2015-12-03,True,0.521683780395999,True
2015-12-04,True,0.42469739802411427,True
2015-12-07,True,0.5103388543518705,True
2015-12-08,True,0.43689396797382657,True
2015-12-09,True,0.4545123370093062,True
2015-12-10,True,0.44727129393692244,True
2015-12-11,True,0.42390543145404624,True
2015-12-14,True,0.43354577622335927,True
2015-12-15,True,0.39613566636397574,True
2015-12-16,True,0.39815499327552656,True
2015-12-17,True,0.4033383148157051,True
2015-12-18,True,0.4183506632057111,True
2015-12-21,True,0.48510826958330866,True
2015-12-22,True,0.5295316044784288,True
2015-12-23,True,0.4740849585639996,True
2015-12-24,True,0.40206614475919017,True
2015-12-25,True,0.41610863356248334,True
2015-12-28,True,0.37400347908985015,True
2015-12-29,True,0.33446916839242025,True
2015-12-30,True,0.2932428770249033,True
2015-12-31,True,0.30206419092815434,True
2016-01-04,True,0.30241954727658255,True
2016-01-05,True,0.33149053268313944,True
2016-01-06,True,0.3412200714417934,True
2016-01-07,True,0.34537935246991247,True
2016-01-08,True,0.34803962563979,True
2016-01-11,True,0.351092849295702,True
2016-01-12,True,0.31389426680889154,True
2016-01-13,True,0.3024195472765824,True
2016-01-14,True,0.4469525621327726,True
2016-01-15,True,0.42690456314526043,True
2016-01-18,True,0.42690456314526043,True
2016-01-19,True,0.42690456314526043,True
2016-01-20,True,0.42690456314526043,True
2016-01-21,True,0.42690456314526043,True
2016-01-22,True,0.42690456314526043,True
2016-01-25,True,0.42690456314526043,True
2016-01-26,True,0.42690456314526043,True
2016-01-27,True,0.42690456314526043,True
2016-01-28,True,0.42690456314526043,True
2016-01-29,True,0.42690456314526043,True
2016-02-01,True,0.42690456314526043,True
2016-02-02,True,0.42690456314526043,True
2016-02-03,True,0.42690456314526043,True
