cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
4,2021-01-05,2021-01-04,228619.71132,5577.0,184.84752,514.7999999999814,3088.7999999999997,9,1,1,2021-01-18,2021-01-15,False,7966.152480000019,0.034844556639518104,4.0,2021-01-05,227553.88516,6917.399999999994,184.53232000000003,512.3999999999814,3074.3999999999996,12.0,1.0,1.0,2021-01-21,2021-01-20,False,9294.867680000012,0.04084688632525219,both,evaluation,STRESS
5,2021-02-03,2021-02-02,237015.46827999997,4180.700000000041,191.00196,517.2000000000196,0.0,10,1,1,2021-02-24,2021-02-23,False,3472.4980400000213,0.014650934241548152,5.0,2021-02-03,237565.38816,-4406.399999999965,188.0064,518.4000000000196,0.0,12.0,1.0,1.0,2021-02-26,2021-02-25,False,-5112.806399999985,-0.021521680576450455,both,evaluation,STRESS
6,2021-06-08,2021-06-07,240489.1572,-1816.0,191.37008000000003,544.7999999999804,0.0,2,1,1,2021-06-10,2021-06-09,False,-2552.1700799999808,-0.010612412258892397,6.0,2021-06-08,232543.4802,-4785.099999999977,183.83564,526.799999999981,0.0,30.0,1.0,1.0,2021-07-21,2021-07-20,False,-5495.735639999958,-0.023633152971105995,both,evaluation,STRESS
7,2021-07-07,2021-07-06,236733.95572,3472.499999999971,190.47820000000002,555.5999999999389,0.0,10,1,1,2021-07-21,2021-07-20,False,2726.421800000032,0.011516817651730286,,,,,,,,,,,,,,,,left_only,evaluation,STRESS
8,2021-10-29,2021-10-28,240219.54940000002,776.0,192.21520000000004,485.00000000003274,0.0,2,1,1,2021-11-02,2021-11-01,False,98.78479999996716,0.00041122714719390427,7.0,2021-10-29,226846.50232000003,1282.4000000000233,181.73440000000002,458.0000000000309,0.0,16.0,1.0,1.0,2021-11-22,2021-11-19,False,642.6655999999923,0.0028330416974797295,both,evaluation,STRESS
9,2021-11-25,2021-11-24,240740.55772,-3174.600000000006,191.0532,480.99999999998977,0.0,3,1,1,2021-11-30,2021-11-29,False,-3846.653199999995,-0.015978417747432288,8.0,2021-11-25,227727.5546,3640.0,183.365,500.50000000000546,0.0,10.0,1.0,1.0,2021-12-09,2021-12-08,False,2956.1349999999948,0.012981015868687482,both,evaluation,STRESS
10,2022-05-13,2022-05-12,236820.29024,-1660.3999999999942,188.52656000000002,474.40000000000043,0.0,2,1,1,2022-05-17,2022-05-16,False,-2323.3265599999945,-0.009810504655853066,9.0,2022-05-13,230430.53535999998,5250.6999999999825,186.16328,519.299999999994,0.0,6.0,1.0,1.0,2022-05-23,2022-05-20,False,4545.236719999989,0.01972497574116641,both,evaluation,STRESS
11,2022-06-08,2022-06-07,234733.85600000003,-1119.999999999971,187.04000000000002,560.0000000000377,0.0,4,1,1,2022-06-14,2022-06-13,False,-1867.0400000000086,-0.007953859029180726,10.0,2022-06-08,235153.02360000001,-1458.5999999999767,187.23936000000003,561.0000000000379,0.0,2.0,1.0,1.0,2022-06-10,2022-06-09,False,-2206.8393600000145,-0.009384694809427125,both,evaluation,STRESS
12,2022-08-10,2022-08-09,232319.29056,2649.600000000006,186.62016,551.9999999999882,0.0,4,1,1,2022-08-16,2022-08-15,False,1910.9798400000177,0.008225661482495265,11.0,2022-08-10,232319.29056,-1269.5999999999767,185.05248,551.9999999999882,0.0,12.0,1.0,1.0,2022-08-26,2022-08-25,False,-2006.652479999965,-0.008637476789650047,both,evaluation,STRESS
13,2024-02-19,2024-02-08,234526.97328,971.5999999999767,187.71312,555.2000000000005,0.0,2,1,1,2024-02-21,2024-02-20,False,228.6868799999762,0.0009750984153406894,12.0,2024-02-19,230809.68696,6898.299999999988,187.11468000000002,546.4000000000004,0.0,4.0,1.0,1.0,2024-02-23,2024-02-22,False,6164.785319999988,0.026709387293040104,both,evaluation,STRESS
