entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,account
2024-02-19,998,201939.34616000002,2024-05-20,1058,61,11119.070520000008,0.05506143667113883,213058.41668000002,-0.0291103618910884,83.22948,232.3999999999857,main_N60_BASE
2024-06-18,1078,213058.41668000002,2024-09-03,1133,56,-11136.192379999993,-0.05226825841255467,201922.22430000003,-0.06496266735783951,108.89238000000002,316.7999999999994,main_N60_BASE
2024-09-25,1147,201922.22430000003,2024-10-10,1153,7,20669.026979999995,0.10236132774216866,222591.25128000003,-0.020302476960334936,46.873020000000004,144.70000000000192,main_N60_BASE
2025-04-10,1275,222591.25128000003,2025-07-09,1335,61,13318.252559999994,0.05983277637110196,235909.50384000002,-0.025422229760030945,90.54744,284.9999999999939,main_N60_BASE
2025-12-19,1446,235909.50384000002,2026-02-04,1477,32,3934.6217200000247,0.01667852144977,239844.12556000004,-0.03473663178270425,96.17828,307.80000000001166,main_N60_BASE
2026-05-06,1532,239844.12556000004,2026-07-20,1584,53,-6183.601700000028,-0.025781751733807257,233660.52386000002,-0.04895592227409018,82.9017,257.40000000000975,main_N60_BASE
2020-02-05,18,200000.0,2020-03-17,47,30,-2494.8537999999826,-0.012474268999999927,197505.14620000002,-0.04614203578475906,61.35380000000001,166.10000000000613,main_N60_STRESS
2020-07-01,117,197505.14620000002,2020-09-23,177,61,17622.080720000027,0.08922340029639209,215127.22692000004,-0.03033720554229391,168.51928,464.0000000000018,main_N60_STRESS
2021-01-05,244,215127.22692000004,2021-03-01,278,35,4324.205760000012,0.02010069028411765,219451.43268000006,-0.036027705443535396,116.19424000000001,324.0000000000123,main_N60_STRESS
2021-06-08,345,219451.43268000006,2021-07-28,380,36,-13145.594719999994,-0.05990206835044298,206305.83796000006,-0.06426669330911416,169.99472,471.9000000000053,main_N60_STRESS
2021-10-29,440,206305.83796000006,2022-01-17,495,56,-4762.888000000006,-0.023086540095503594,201542.94996000006,-0.06186918929703833,198.48800000000003,511.2000000000263,main_N60_STRESS
2022-05-13,569,201542.94996000006,2022-08-04,627,59,970.6494800000219,0.004816092451721321,202513.59944000008,-0.06466802931740812,139.45052,404.5000000000032,main_N60_STRESS
2022-08-10,631,202513.59944000008,2022-09-08,652,22,-2296.3812000000034,-0.011339392546229288,200217.21824000007,-0.0282259540518639,141.7812,425.9999999999909,main_N60_STRESS
2024-02-19,998,200217.21824000007,2024-05-20,1058,61,10714.613439999986,0.053514945089070176,210931.83168000006,-0.029237712223247003,163.78656,460.80000000000047,main_N60_STRESS
2024-06-18,1078,210931.83168000006,2024-09-03,1133,56,-11440.415479999996,-0.05423750122909843,199491.41620000007,-0.06620292176743237,215.31548,626.3999999999962,main_N60_STRESS
2024-09-25,1147,199491.41620000007,2024-10-10,1153,7,20270.48436000003,0.10161080985899584,219761.9005600001,-0.02021393870090793,92.81564,264.3999999999978,main_N60_STRESS
2025-04-10,1275,219761.9005600001,2025-07-09,1335,61,12836.52767999997,0.05841106964987919,232598.42824000007,-0.02545077521321537,178.87232,506.6999999999942,main_N60_STRESS
2025-12-19,1446,232598.42824000007,2026-02-04,1477,32,3596.5595599999942,0.015462527357618105,236194.98780000006,-0.03485783963509237,189.74044000000004,506.0000000000203,main_N60_STRESS
2026-05-06,1532,236194.98780000006,2026-07-20,1584,53,-6313.704920000018,-0.026730901357425063,229881.28288000004,-0.04910420293540918,163.00492,427.2000000000302,main_N60_STRESS
2020-02-06,19,200000.0,2020-03-17,47,29,-2954.7735000000102,-0.014773867500000093,197045.2265,-0.046037239139095965,31.2735,85.29999999999949,main_N70_BASE
2020-07-06,120,197045.2265,2020-09-28,180,61,4015.002999999997,0.02037604803382531,201060.2295,-0.03141308462503434,77.497,244.79999999999782,main_N70_BASE
2021-01-06,245,201060.2295,2021-03-01,278,34,832.2587999999814,0.0041393506914304545,201892.48829999997,-0.03924758917668747,52.741200000000006,143.40000000000543,main_N70_BASE
2021-06-23,355,201892.48829999997,2021-07-28,380,26,-8718.995799999975,-0.043186330870537804,193173.4925,-0.06367548683505286,79.2958,234.00000000000506,main_N70_BASE
2021-08-11,390,193173.4925,2021-11-12,450,61,-2024.903340000019,-0.01048230434618258,191148.58915999997,-0.02838236139301753,81.50334000000001,231.0000000000053,main_N70_BASE
2021-12-06,466,191148.58915999997,2022-01-28,504,39,-7767.176940000005,-0.04063423629822627,183381.41221999997,-0.07377198673428076,84.87694,254.39999999998406,main_N70_BASE
2022-06-09,587,183381.41221999997,2022-08-04,627,41,-3797.1346399999748,-0.020706213318090305,179584.27758,-0.0655857631526452,64.13464,225.00000000000853,main_N70_BASE
2022-08-24,641,179584.27758,2022-09-22,661,21,-9107.35004000002,-0.05071351547433178,170476.92753999998,-0.05071351547433178,71.05004,211.8999999999994,main_N70_BASE
2024-02-20,999,170476.92753999998,2024-05-21,1059,61,8999.880059999996,0.05279236427984246,179476.80759999997,-0.02909717847553861,71.91994,195.9999999999987,main_N70_BASE
2024-06-28,1086,179476.80759999997,2024-09-09,1137,52,-7696.39552000002,-0.04288239590907472,171780.41207999995,-0.07558962022294846,92.59552000000001,272.79999999997654,main_N70_BASE
2024-09-24,1146,171780.41207999995,2024-10-10,1153,8,26564.602079999953,0.15464278935149212,198345.0141599999,-0.020274680594382644,68.19792000000001,209.50000000000156,main_N70_BASE
2025-04-22,1283,198345.0141599999,2025-07-21,1343,61,15189.85864000005,0.0765830122039104,213534.87279999995,-0.02541803962237421,81.34136000000001,252.49999999995873,main_N70_BASE
2025-12-19,1446,213534.87279999995,2026-03-25,1506,61,-2417.443680000026,-0.0113210720492678,211117.42911999993,-0.06400664599430994,107.54368,348.0000000000016,main_N70_BASE
2026-06-10,1557,211117.42911999993,2026-07-20,1584,28,-2240.79396000001,-0.010613969530324008,208876.63515999992,-0.045787143168678934,45.39396,142.2000000000054,main_N70_BASE
2020-02-06,19,200000.0,2020-03-17,47,29,-3064.781399999978,-0.015323906999999859,196935.21860000002,-0.04604953776304632,61.281400000000005,165.29999999999956,main_N70_STRESS
2020-07-06,120,196935.21860000002,2020-09-28,180,61,3628.811800000025,0.018426423804726255,200564.03040000005,-0.0314419885065933,149.6882,403.00000000000244,main_N70_STRESS
2021-01-06,245,200564.03040000005,2021-03-01,278,34,600.4357599999639,0.0029937360094054455,201164.46616,-0.03608316947099943,103.96424000000002,286.80000000001087,main_N70_STRESS
2021-06-23,355,201164.46616,2021-07-28,380,26,-8951.78363999998,-0.044499825495423306,192212.68252000003,-0.06418162953257467,157.28364000000002,440.2000000000049,main_N70_STRESS
2021-08-11,390,192212.68252000003,2021-11-12,450,61,-2273.316040000005,-0.011827086590727287,189939.36648000003,-0.02860942281244616,153.01604000000003,404.69999999999914,main_N70_STRESS
2021-12-06,466,189939.36648000003,2022-01-28,504,39,-7964.283999999985,-0.04193066528332656,181975.08248000004,-0.07401495087948473,163.28400000000002,428.99999999998613,main_N70_STRESS
2022-06-09,587,181975.08248000004,2022-08-04,627,41,-3975.5682399999932,-0.02184677256809009,177999.51424000005,-0.06575836049073192,124.56824000000003,371.99999999999204,main_N70_STRESS
2022-08-24,641,177999.51424000005,2022-09-22,661,21,-9250.161840000015,-0.051967343166610225,168749.35240000003,-0.051967343166610225,133.96184,373.89999999998133,main_N70_STRESS
2024-02-20,999,168749.35240000003,2024-05-21,1059,61,8648.122719999985,0.05124833130915163,177397.47512000002,-0.029221806455990706,137.67728,387.19999999998373,main_N70_STRESS
2024-06-28,1086,177397.47512000002,2024-09-09,1137,52,-7962.952080000017,-0.04488762917630873,169434.52304,-0.07683454157513447,182.75208,538.3999999999737,main_N70_STRESS
2024-09-24,1146,169434.52304,2024-10-10,1153,8,25954.63836000001,0.15318388421864104,195389.1614,-0.020187957655396493,134.66163999999998,393.9999999999981,main_N70_STRESS
2025-04-22,1283,195389.1614,2025-07-21,1343,61,14698.471719999972,0.07522664826791137,210087.63311999998,-0.02546177291466678,160.42828,448.1999999999948,main_N70_STRESS
2025-12-19,1446,210087.63311999998,2026-03-25,1506,61,-2646.838560000033,-0.012598735683257423,207440.79455999995,-0.06417545066167318,209.13856,564.000000000016,main_N70_STRESS
2026-06-10,1557,207440.79455999995,2026-07-20,1584,28,-2315.2880799999984,-0.011161199439632563,205125.50647999995,-0.045759814925643294,88.48808,237.59999999999656,main_N70_STRESS
